10SNAPTL,SHATHAN NAPTOL,1,1,0
10SNBLUE,SATIN PLAIN COLOR,1,1,0
10SP017MT,SATHAN MULTI TIE DYE,1,1,0
10SP11TF,SATHAN TIGER FLOWER - P011,1,1,0
10SP12SV,SATHAN SPRAY VEL. - P012,1,1,0
10SP13BO,SATHAN OMBRE BRUSH - P013,1,1,0
10SP17TG,SATHAN TIE DYE GD NG,1,1,0
10SPBMNG,SATIN PLAIN BLACK NG,1,1,0
10SPC001,SATHAN PLAIN COLOR,1,1,0
10SPCLGD,SATIN PLAIN COLOR GOLD,1,1,0
10SPCNAG,SATIN PLAIN COLOR NAG,1,1,0
10SRDBLK,SATIN RED & BLACK GOLA GD NG,1,1,0
10SSBGNG,SATIN BLACK GUTTA NG,1,1,0
10SSBOODI,SATIN COLOR SPRAY BOODI,1,1,0
10SSD002,SATHAN SPRAY DISCHARGE,1,1,0
10SSG001,SATHAN SPRAY GULAB,1,1,0
10SSJGNG,SATIN SPRAY JALEBI NAG,1,1,0
10SSKPGD,SATIN SPRAY S GOLD KUPPI NAG,1,1,0
10SSNFNG,SATIN SUNDARI FULL,1,1,0
10SSNG01,SATHAN SPRAY NAG,1,1,0
10SSSKUP,SATIN SPRAY S MULTI,1,1,0
10SSTARN,SATHAN SPRAY STAR NAG,1,1,0
10STB001,SATHAN TIGER BORDER	,1,1,0
10SWD001,SATHAN WHITE DISCHARGE,1,1,0
10SWK001,SATHAN WHITE KUPPI,1,1,0
11BMXD01,MIXED GARMENTS,1,1,0
17LDCOTY,LADIES & GENTS SWEATER,1,1,0
17LTOP01,LADIES TOP,1,1,0
20CPB65B,COTTON BLACK PLAIN DUPATTA 2.25MTS,1,1,0
20P0135G,PUSHMINA MULTI 135G,1,1,0
20P0150G,PUSHMINA MULTI 150G,1,1,0
20P019PG,PUSHMINA PALLU GUTTA,1,1,0
20P031B0,PUSHMINA BLACK - 031,38,1,0
20P032W0,PUSHMINA WHITE - 032,1,1,0
20P033C0,PUSHMINA COLOR - 033,1,1,0
20P034O0,PUSHMINA OMBRE - 034,45,1,0
20P035HH,PUSHMINA HALF-HALF - 035,45,1,0
20P036T0,PUSHMINA TIGER - 036,45,1,0
20P037BB,PUSHMINA BRUSH - 037,45,1,0
20P038C0,PUSHMINA CHUNRI - 038,45,1,0
20P039R0,PUSHMINA RANGEELA - 039,45,1,0
20P040CN,PUSHMINA COLOR GD NG - 040,45,1,0
20P041G3,PUSHMINA 3 GOLA - 041,45,1,0
20P042LP,PUSHMINA LPT - 042,45,1,0
20P043OT,PUSHMINA OTHERS - 043,45,1,0
20P044XN,PUSHMINA X GOLD NG - 044,25,1,0
20P04538,PUSHMINA 36X80 RIMAJOL -045,25,1,0
20P04638,PUSHMINA 36X80 REPEAT - 046,25,1,0
20P047GN,PUSHMINA TIGER GD NG - 047,25,1,0
20P0480P,PUSHMINA PAGERY,25,1,0
20P04DIS,PUSHMINA DISCHARGE,1,1,0
20P050RJ,PUSHMINA 28X72 RIMAJOL - P05,1,1,0
20P0538M,PUSHMINA MULTI -P05,1,1,0
20P05CVN,PUSHMINA COLOR VEL. NG - P05,1,1,0
20P05K38,PUSHMINA KORA 36X80 - P05,1,1,0
20P05PCH,PUSHMINA PCH -P05,1,1,0
20P06CSN,PUSHMINA COLOR SPRAY GD NG - P06,1,1,0
20P06WGN,PUSHMINA WHITE GD NG - P06,1,1,0
20P07MGN,PUSHMINA MULTI BRUSH GD NG - P07,1,1,0
20P125RB,PUSHMINA RED & BLACK,1,1,0
20P3680P,PUSHMINA 36 x 80 PAGERY,1,1,0
20P36TWB,PUSHMINA TIGER WHITE BRUSH,1,1,0
20P4472P,PUSHMINA 44 x 72 PRINT,1,1,0
20P6TD38,PUSHMINA TIE DYE 36 * 80 - P006,1,1,0
20PB0056,PUSHMINA BANDHEJ MULTI,1,1,0
20PBP03N,PUSHMINA BOOTA NG -P03,1,1,0
